id,quote,person,created_at,updated_at
1,Give me six hours to chop down a tree and I will spend the first four sharpening the axe.,Abraham Lincoln,2016-06-29 15:32:27,2017-02-15 12:43:59
2,We have to continually be jumping off cliffs and developing our wings on the way down.,Kurt Vonnegut,2016-06-29 15:32:27,2016-06-29 15:32:27
3,"We are what we repeatedly do. Excellence, then, is not an act, but a habit.",Aristotle,2016-06-29 15:32:27,2016-06-29 15:32:27
4,"Those who don't believe in magic will never find it.",Roald Dahl,2016-06-29 15:32:27,2016-06-29 15:32:27
5,You see things; and you say Why? But I dream things that never were; and I say Why not?,George Bernard Shaw,2016-06-29 15:32:27,2016-06-29 15:32:27
6,Opportunity is missed by most people because it is dressed in overalls and looks like work.,Thomas Edison,2016-06-29 15:32:27,2016-06-29 15:32:27
7,"If you're going through hell, keep going.",Winston Churchill,2016-06-29 15:32:27,2016-06-29 15:32:27
8,"If you don't design your own life plan, chances are you'll fall into someone else's plan. And guess what they have planned for you? Not much.",Jim Rohn,2016-06-29 15:32:27,2016-06-29 15:32:27
9,Our greatest weakness lies in giving up. The most certain way to succeed is always to try just one more time.,Thomas Edison,2016-06-29 15:32:27,2016-06-29 15:32:27
10,"Be miserable. Or motivate yourself. Whatever has to be done, it's always your choice.",Wayne Dyer,2016-06-29 15:32:27,2016-06-29 15:32:27
11,"I don't believe you have to be better than everybody else. I believe you have to be better than you ever thought you could be.",Ken Venturi,2016-06-29 15:32:27,2016-06-29 15:32:27
12,"Learn from the past, set vivid, detailed goals for the future, and live in the only moment of time over which you have any control: now.",Denis Waitley,2016-06-29 15:32:27,2016-06-29 15:32:27
13,"Even if you fall on your face, you're still moving forward.",Victor Kiam,2016-06-29 15:32:27,2016-06-29 15:32:27
14,"We are taught you must blame your father, your sisters, your brothers, the school, the teachers - but never blame yourself. It's never your fault. But it's always your fault, because if you wanted to change you're the one who has got to change.",Katharine Hepburn,2016-06-29 15:32:27,2016-06-29 15:32:27
15,"If you want to succeed you should strike out on new paths, rather than travel the worn paths of accepted success.",John D. Rockefeller,2016-06-29 15:32:27,2016-06-29 15:32:27
16,Things do not happen. Things are made to happen.,John F. Kennedy,2016-06-29 15:32:27,2016-06-29 15:32:27
17,You have to learn the rules of the game. And then you have to play better than anyone else.,Albert Einstein,2016-06-29 15:32:27,2016-06-29 15:32:27
18,"I'd rather attempt to do something great and fail than to attempt to do nothing and succeed.",Robert H. Schuller,2016-06-29 15:32:27,2016-06-29 15:32:27
19,"The harder the conflict, the more glorious the triumph.",Thomas Paine,2016-06-29 15:32:27,2016-06-29 15:32:27
20,"You can't build a reputation on what you are going to do.",Henry Ford,2016-06-29 15:32:27,2016-06-29 15:32:27
21,The secret of getting ahead is getting started.,Mark Twain,2016-06-29 15:32:27,2016-06-29 15:32:27
22,"Do your work with your whole heart, and you will succeed - there's so little competition.",Elbert Hubbard,2016-06-29 15:32:27,2016-06-29 15:32:27
23,Small deeds done are better than great deeds planned.,Peter Marshall,2016-06-29 15:32:27,2016-06-29 15:32:27
24,The wise does at once what the fool does at last.,Baltasar Gracian,2016-06-29 15:32:27,2016-06-29 15:32:27
25,"I've found that luck is quite predictable. If you want more luck, take more chances. Be more active. Show up more often.",Brian Tracy,2016-06-29 15:32:27,2016-06-29 15:32:27
26,"If you do not hope, you will not find what is beyond your hopes.",St. Clement of Alexandra,2016-06-29 15:32:27,2016-06-29 15:32:27
